type,name,link,img,price,sale,properties1,properties2,properties3,properties4,properties5,properties6
key,Royal Kludge RK N80,https://s.shopee.vn/AKGXaowy01,https://down-vn.img.susercontent.com/file/cn-11134207-7r98o-ly21cv1ta3ojc4,2tr,,Nhựa,Mạch xuôi & ngược,75%,RGBs,1-3mode,Có núm
key,XinMeng M87 giá rẻ,https://shope.ee/9A1Yf4LHDZ,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lw3k79v7ag2h9f,700k,(bestseller),Nhựa,Mạch xuôi,TKL 85%,RGBs,3mode,
key,Bàn phím cơ Aula F87,https://s.shopee.vn/7KcvzTk3CI,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lxkp37b0jcgr5e,999k,,Nhựa,Mạch xuôi & ngược,TKL 85%,RGBs,1-3mode,
key,LEOBOG Hi75,https://s.shopee.vn/50F1DbVA9y,https://down-vn.img.susercontent.com/file/vn-11134211-7r98o-luiskpule2p19e,1tr4,,Nhôm,Mạch xuôi,75%,RGBs,1mode,
key,Bàn phím cơ Gamming Aukey KM-G12,https://s.shopee.vn/AKGCpctGdB,https://down-vn.img.susercontent.com/file/vn-11134201-23020-zm7zuis0o1nv9d,350k,,Nhựa,Mạch ngược,Full size,Rainbow,1mode,
key,Bàn phím phẳng Jomaa Bluetooth 3 kênh siêu mỏng có thể gập gọn,https://s.shopee.vn/3VQOESOlrn,https://down-vn.img.susercontent.com/file/sg-11134201-22110-0n4zzd7movjv78,700k,,Nhựa,,,,3mpde,
key,XinMeng XM-M71 Ver 2,https://s.shopee.vn/50F1E1XW1z,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lmhcqapseevze4,1tr350,,Nhôm,Mạch xuôi,65%,RGBs,3mode,
key,AULA M75,https://s.shopee.vn/7AJVo9hySM,https://down-vn.img.susercontent.com/file/sg-11134201-7rd3p-lx75g4keqw0a47,1tr6,,Nhôm,Mạch xuôi,75%,RGBs,3mode,
key,Monka K75 ,https://s.shopee.vn/5po8E1Rher,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lwjj8tmxzlqz56,1tr,,Nhựa,Mạch xuôi,75%,RGBs,3mode,
key,Dark Alien R65,https://s.shopee.vn/3q33qTA9hr,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lx6m6ygkdfbt23,1tr2,,Nhôm,Mạch xuôi,65%,RGBs,3mode,
key,Dark Alien R83,https://s.shopee.vn/8AC30cSsjC,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lulzqprf4i6q7c,1tr3,,Nhôm,Mạch xuôi,75%,RGBs,3mode,
key,K68BT Trục Cơ Red Switch,https://shope.ee/7zowf5eJ1J,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lvv66wy32l0b7f,429k,(bestseller),Nhựa,Mạch ngược,65%,Không,3mode,
key,ZA641 pro - Red swtich Có Hotswap,https://s.shopee.vn/3VQDTU151v,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ln0u2fzq6qc8d1,429k,,Nhựa,Mạch ngược,65%,Rainbow,3mode,
key,Bàn Phím Razer BlackWidow V3 Tenkeyless,https://s.shopee.vn/6V3UHmiaCH,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lq0bs6az1ph3a3,1tr6,( GAMING ),Nhựa,Mạch xuôi,TKL 85%,Không rõ,3mode,
,,,,,,,,,,,
key,XinMeng M75 ,https://s.shopee.vn/7fF1koeqDh,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ltdlroi5mkzo3e,900k,(bestseller),Nhựa,Mạch xuôi,75%,RGBs,3mode,
key,Hàng Chính Hãng Rainy 75 ,https://shope.ee/8pO4TxIUGm,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lp7z6w52uz4ef1,2tr,(bestseller),Nhựa,Mạch xuôi,75%,RGBs,3mode,
key,Bàn phím cơ Lofree Flow 84 keys và 100 keys nhôm CNC,https://s.shopee.vn/5fUNGhbWDU,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lwr2e95zhvx573,2tr7,,Nhôm,Mạch xuôi,75%,RGBs,3mode,
key,Bàn Phím Cơ Gaming - AKKO MOD007 v3 HE Year Of Dragon,https://s.shopee.vn/5VAx3rC1Vn,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lwsd9gn8mgnv90,4tr,,Nhôm,Mạch xuôi,75%,RGBs,3mode,
key,Furycube F75s,https://s.shopee.vn/50EgTB8HQj,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lwoa9a69gc7t76,1tr900k,,Nhôm,Mạch xuôi,75%,RGBs,3mode,Có núm
key,Aula f75 giá rẻ,https://s.shopee.vn/B9QhgFhVA,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lvz9amyjofyzde,800k,(bestseller),Nhựa,Mạch xuôi,75%,RGBs,3mode,
